Game Boy Advance-Action-Justice League: Injustice for All,5
Game Boy Advance-Action-kill.switch,7.5
Game Boy Advance-Action-Kim Possible: Revenge of Monkey Fist,5
Game Boy Advance-Action-Kirby &amp; The Amazing Mirror,8
Game Boy Advance-Action-Klax / Marble Madness,4.5
Game Boy Advance-Action-Konami Collector's Series: Arcade Advanced,9
Game Boy Advance-Action-Kong: The Animated Series,5
Game Boy Advance-Action-Lilo &amp; Stitch,8
Game Boy Advance-Action-Madagascar,7
Game Boy Advance-Action-Magical Quest Starring Mickey &amp; Minnie,6
Game Boy Advance-Action-Mappy (Famicom Mini Series),7
Game Boy Advance-Action-Mario Bros. (Famicom Mini Series),4
Game Boy Advance-Action-Mario vs. Donkey Kong,8.5
Game Boy Advance-Action-Masters of the Universe: He+Man ++ Power of Grayskull,6
Game Boy Advance-Action-Max Payne,9
Game Boy Advance-Action-Medabots AX: Metabee Version,6
Game Boy Advance-Action-Medabots AX: Rokusho Version,6
Game Boy Advance-Action-Medal of Honor: Infiltrator,8.8
Game Boy Advance-Action-Mega Man &amp; Bass,8.5
Game Boy Advance-Action-Mega Man Zero,8.8
Game Boy Advance-Action-Mega Man Zero 2,8
Game Boy Advance-Action-Mega Man Zero 3,8
Game Boy Advance-Action-Mega Man Zero 4,7.5
Game Boy Advance-Action-Men In Black: The Series,2
Game Boy Advance-Action-Minority Report,6
Game Boy Advance-Action-Monster Force,6.5
Game Boy Advance-Action-Monster Jam: Maximum Destruction,5.5
Game Boy Advance-Action-Mr. Driller 2,6
Game Boy Advance-Action-Mucha Lucha: Mascaritas of the Lost Code,2
Game Boy Advance-Action-Namco Museum,8.5
Game Boy Advance-Action-Naruto: Ninja Council,6.5
Game Boy Advance-Action-Naruto: Ninja Council 2,5
Game Boy Advance-Action-Ninja Five+O,8.5
Game Boy Advance-Action-No Rules: Get Phat,3
Game Boy Advance-Action-Over the Hedge: Hammy Goes Nuts!,6.5
Game Boy Advance-Action-Ozzy &amp; Drix,3.5
Game Boy Advance-Action-Pac+Man (Classic NES Series),5
Game Boy Advance-Action-Pirates of the Caribbean: Dead Man's Chest,7
Game Boy Advance-Action-Pitfall: The Mayan Adventure,5
Game Boy Advance-Action-Planet of the Apes,6
Game Boy Advance-Action-Power Rangers Time Force,6
Game Boy Advance-Action-Power Rangers: Space Patrol Delta,4
Game Boy Advance-Action-Prince of Persia: The Sands of Time,7
Game Boy Advance-Action-Princess Natasha: Student~Secret Agent~Princess,4.5
Game Boy Advance-Action-Punch King,6
Game Boy Advance-Action-Ratatouille,7
Game Boy Advance-Action-Rayman: Hoodlum's Revenge,6.5
Game Boy Advance-Action-Ripping Friends,3
Game Boy Advance-Action-River City Ransom EX,7.8
Game Boy Advance-Action-Robotech: The Macross Saga,5
Game Boy Advance-Action-Robots,4.5
Game Boy Advance-Action-Sabre Wulf,8
Game Boy Advance-Action-Sabrina the Teenage Witch: Potion Commotion,6
Game Boy Advance-Action-Samurai Jack: The Amulet of Time,6
Game Boy Advance-Action-Scooby+Doo and the Cyber Chase,3.5
Game Boy Advance-Action-Scooby+Doo: Mystery Mayhem,5
Game Boy Advance-Action-SEGA Smash Pack,6
Game Boy Advance-Action-Shrek: Hassle at the Castle,7
Game Boy Advance-Action-Sitting Ducks,3
Game Boy Advance-Action-Space Invaders,8.1
Game Boy Advance-Action-Spider+Man 2,6.5
Game Boy Advance-Action-Spider+Man: Battle for New York,4.5
Game Boy Advance-Action-Spider+Man: Mysterio's Menace,8.5
Game Boy Advance-Action-Spider+Man: The Movie,8.8
Game Boy Advance-Action-SpongeBob SquarePants: Creature from the Krusty Krab,7
Game Boy Advance-Action-SpyHunter,7.2
Game Boy Advance-Action-Spyro the Dragon: Attack of the Rhynocs,8
Game Boy Advance-Action-Spyro the Dragon: Season of Flame,8.5
Game Boy Advance-Action-Spyro the Dragon: Season of Ice,8
Game Boy Advance-Action-Star Soldier (Famicom Mini Series),4
Game Boy Advance-Action-Star Wars Trilogy: Apprentice of the Force,6.5
Game Boy Advance-Action-Star Wars: Episode II Attack of the Clones,6.5
Game Boy Advance-Action-Star Wars: Episode III: Revenge of the Sith,7
Game Boy Advance-Action-Star Wars: Jedi Power Battles,4
